time,Rt median,Rt 95%CI LB,Rt 95% CI UB
71.01,0.842127488521504,0.795413659900452,0.892534462948533
72.01,0.834739134319257,0.791923491657369,0.884768408269837
73.01,0.82919098661076,0.788024450988774,0.879541719645402
74.01,0.825182971481815,0.785954249329001,0.877248976218696
75.01,0.823112661539133,0.778319528103457,0.876235412662268
76.01,0.82257152024023,0.778333562680156,0.877060599429611
77.01,0.822877800285373,0.780511030211514,0.878258143496858
78.01,0.82417843162891,0.778417405672687,0.880158700846361
79.01,0.82641602733068,0.77613864823972,0.882446132215849
80.01,0.829594014889853,0.785900778546422,0.884502111444148
81.01,0.833574123488768,0.788210962073092,0.886785937097637
82.01,0.837036655443479,0.789004873887108,0.889062962619619
83.01,0.841854339049441,0.792039932457458,0.892188648214062
84.01,0.847450218414325,0.791196801348225,0.895676314561231
85.01,0.851869640198686,0.800535952231924,0.899122049473122
86.01,0.857067744342309,0.806421461453357,0.903234633573286
87.01,0.863072504726182,0.816643590100653,0.906986180285056
88.01,0.865943701730986,0.824183929279885,0.909589203446264
89.01,0.868784648964355,0.827956864293142,0.915043984699631
90.01,0.874534184378787,0.833424628788603,0.916167731911035
91.01,0.880834931041768,0.842223977164277,0.920607749651962
92.01,0.888109017916496,0.846900563512126,0.927471153789868
93.01,0.896061834981546,0.855490104432581,0.929052989484151
94.01,0.903797113347757,0.863199302128972,0.933661008648094
95.01,0.90324735984906,0.864213875528844,0.938881957469181
96.01,0.90534036710658,0.87066595772147,0.938923396484817
97.01,0.910312121237583,0.875599644446359,0.942168919157848
98.01,0.915393707691256,0.880614871919255,0.944283147757789
99.01,0.922197680273148,0.886170786363967,0.945468392633926
100.01,0.927275938455226,0.897229948886798,0.946814002068126
101.01,0.931120289165474,0.904387294764999,0.948093406949055
102.01,0.934876326463037,0.910553377505538,0.948465834840678
103.01,0.938395934181827,0.915810975427982,0.950591417780273
